glottocode	genus	confidence
pula1263	Peul-Serer	initial
west2454	Peul-Serer	initial
sere1260		
tend1239		
bass1263		
bass1258	Tenda	initial
bedi1237		
bape1239		
bedi1235		
wame1240	Tenda	initial
wolo1248		
east2703		
bain1264		
bain1259		
bain1261		
gube1234		
nort3247		
kobi1240		
kasa1248		
kobi1241		
wolo1247		
gamb1252		
lebu1234		
nucl1347	Wolof	initial
volt1241		
benu1247		
akpe1249		
akpe1248		
edoi1239		
delt1252		
dege1249		
dege1246	Edoid	initial
enge1239	Edoid	initial
epie1238		
nort3182		
afen1234		
ghot1243	Edoid	initial
unem1239		
unem1238		
yekh1238	Edoid	initial
cent2259		
bini1246	Edoid	initial
emai1243		
emai1241	Edoid	initial
ikhi1234		
esan1238		
nort3183		
igwi1234		
ikpe1246		
enwa1246		
ikpe1243		
ivbi1241		
osos1238		
sasa1252		
igwe1238		
sasa1247		
osse1244		
iyay1238		
uham1238		
ukue1239		
ehue1238		
ukue1238		
sout3171		
okpa1238		
okpe1251		
akuk1235		
okpe1249		
olom1241		
sout2805		
eruw1238		
isok1239	Edoid	initial
okpe1250		
urho1239	Edoid	initial
uvbi1238		
bant1294		
nort3168		
dako1256		
tara1325		
diri1260		
diri1253		
lamj1245		
samb1311		
tiba1234		
dong1293		
gaaa1245		
mamb1309		
ndoo1241		
niza1234		
konj1251		
konj1252		
bung1259		
kwan1276		
njan1240		
mamb1310		
mamb1311		
mamb1312		
east2806		
came1252		
twen1242		
nige1255		
njer1241		
luoc1235		
njer1242		
yeni1253		
mbon1254		
mbon1253		
mvan1239		
mvan1238		
ndun1251		
vuti1235		
somy1238		
tepp1235		
vute1246		
vute1244		
wawa1246		
suga1248		
tika1246	Tikar	initial
sout3152		
bebo1243		
biky1238		
east2730		
bebe1253		
bebe1250		
naki1239		
keme1240		
naki1240		
bukw1238		
mash1269		
naki1238		
nsar1239		
noon1245		
ncan1246		
cung1239		
cung1238		
mbuk1244		
ncan1245		
noon1243	Beboid	initial
nsar1238		
uncl1497		
